dstport,protocol,tag
16521,icmp,email
41276,tcp,sv_P1
14880,icmp,sv_P5
52833,udp,sv_P2
32600,icmp,email
56213,icmp,sv_P5
36812,udp,sv_P3
10171,icmp,sv_P4
28545,icmp,email
41865,icmp,sv_P1
59541,udp,email
45532,tcp,sv_P5
32953,tcp,sv_P1
62893,udp,sv_P3
27883,icmp,sv_P3
64628,udp,sv_P1
16622,icmp,sv_P4
10473,udp,sv_P4
52769,icmp,email
40966,tcp,email
36472,tcp,sv_P2
65451,udp,sv_P3
9253,tcp,sv_P1
2792,tcp,sv_P2
38311,icmp,email
1328,icmp,sv_P3
21078,tcp,sv_P3
26784,udp,sv_P2
12800,icmp,sv_P5
30934,tcp,email
34674,tcp,sv_P1
41326,icmp,sv_P1
842,udp,sv_P4
7248,icmp,sv_P1
6093,udp,email
57151,icmp,email
54936,udp,email
10948,tcp,sv_P3
34057,icmp,sv_P3
13082,tcp,sv_P3
63458,udp,sv_P5
48302,icmp,sv_P4
61965,icmp,sv_P3
44734,icmp,sv_P5
20669,tcp,sv_P4
24337,udp,sv_P4
11394,icmp,sv_P5
62364,udp,sv_P5
741,icmp,email
33086,icmp,sv_P5
15405,icmp,sv_P3
30736,udp,sv_P1
10543,tcp,email
17532,udp,sv_P2
21580,udp,email
34030,udp,email
45114,tcp,sv_P2
21621,tcp,sv_P5
40427,icmp,sv_P1
47481,tcp,sv_P5
22870,udp,email
36105,icmp,sv_P5
24473,icmp,sv_P5
36415,tcp,sv_P4
42732,icmp,email
20998,icmp,sv_P2
1612,tcp,sv_P1
24391,tcp,email
58163,udp,sv_P4
31089,tcp,sv_P1
30380,tcp,sv_P4
34730,udp,sv_P4
9156,icmp,sv_P3
11435,icmp,sv_P4
61870,udp,sv_P4
32812,icmp,sv_P2
56807,udp,sv_P4
38712,tcp,email
51953,icmp,sv_P4
4612,udp,sv_P1
39579,icmp,sv_P1
23880,tcp,sv_P5
43095,tcp,sv_P3
48554,icmp,sv_P4
11562,udp,sv_P5
19906,icmp,sv_P1
29258,udp,sv_P2
15359,udp,sv_P2
55012,udp,sv_P4
20482,tcp,sv_P5
55320,udp,sv_P3
42707,udp,sv_P1
150,icmp,sv_P4
35988,tcp,email
32754,icmp,sv_P4
32407,icmp,sv_P3
55680,icmp,sv_P3
58487,icmp,sv_P1
26579,icmp,sv_P1
3449,icmp,sv_P3
6615,tcp,sv_P4
2181,tcp,sv_P3
26587,icmp,sv_P1
47047,udp,sv_P5
39825,udp,sv_P4
32506,tcp,sv_P2
47387,udp,sv_P5
48474,tcp,sv_P5
25094,icmp,sv_P5
20438,tcp,sv_P1
40301,udp,sv_P4
38397,tcp,sv_P5
32622,udp,sv_P2
25071,icmp,sv_P4
9011,icmp,sv_P5
8850,icmp,sv_P1
39381,tcp,sv_P1
3681,udp,email
24212,icmp,sv_P5
672,icmp,sv_P2
20111,udp,sv_P2
22174,tcp,email
8932,icmp,email
39451,tcp,sv_P1
27850,icmp,sv_P2
34095,icmp,sv_P2
44587,tcp,sv_P5
10779,icmp,sv_P5
1341,icmp,email
20730,icmp,sv_P5
33757,tcp,sv_P2
65455,tcp,sv_P4
43036,icmp,email
29857,tcp,sv_P1
63390,udp,sv_P4
54734,tcp,sv_P1
56542,icmp,sv_P1
10413,udp,sv_P1
59554,icmp,sv_P5
45231,icmp,email
34594,udp,sv_P1
36710,udp,sv_P5
21683,icmp,sv_P2
49865,tcp,sv_P1
38692,icmp,email
3443,tcp,sv_P2
58594,icmp,sv_P2
48982,tcp,email
43374,udp,sv_P2
40961,icmp,sv_P3
17313,tcp,email
22903,icmp,email
52175,icmp,email
40580,icmp,sv_P4
9026,tcp,sv_P4
9044,udp,sv_P2
42028,tcp,email
55389,icmp,sv_P5
43686,icmp,sv_P1
53590,udp,sv_P5
15783,tcp,sv_P4
43554,icmp,sv_P3
31834,icmp,sv_P2
48320,tcp,email
36487,icmp,sv_P3
43458,icmp,sv_P2
4573,tcp,sv_P5
3975,tcp,sv_P3
53741,udp,sv_P5
65213,udp,sv_P4
1536,udp,sv_P1
38069,tcp,sv_P3
35449,icmp,sv_P2
15682,udp,sv_P2
27255,udp,sv_P5
53983,tcp,sv_P4
32782,icmp,sv_P2
58143,icmp,email
14324,tcp,sv_P4
60598,tcp,sv_P1
22476,icmp,sv_P3
52739,tcp,sv_P2
43023,icmp,sv_P3
20284,icmp,sv_P1
36349,udp,sv_P5
2491,udp,sv_P4
62649,icmp,sv_P1
33597,tcp,email
61287,udp,sv_P2
4914,tcp,sv_P1
40048,icmp,email
19642,tcp,sv_P4
16236,icmp,sv_P4
14288,udp,sv_P1
8413,tcp,sv_P1
60525,udp,email
43393,tcp,email
37347,icmp,sv_P2
46015,tcp,email
11509,icmp,sv_P1
29655,udp,email
27708,tcp,sv_P3
2096,icmp,sv_P4
2316,tcp,sv_P4
57306,icmp,email
15097,icmp,sv_P2
58383,icmp,sv_P4
33995,udp,email
54613,tcp,sv_P5
34990,udp,sv_P1
4792,icmp,sv_P2
29784,tcp,sv_P2
12621,tcp,sv_P1
26314,tcp,sv_P2
17524,icmp,email
45448,tcp,sv_P5
61733,icmp,sv_P4
58251,icmp,sv_P5
57054,udp,sv_P5
27625,udp,email
57976,tcp,sv_P1
44874,icmp,sv_P3
27133,udp,sv_P2
13256,tcp,sv_P1
41155,icmp,sv_P2
38938,tcp,sv_P3
23184,udp,sv_P3
38502,udp,sv_P2
60527,icmp,sv_P2
22737,udp,email
43267,udp,sv_P2
29867,tcp,sv_P3
5388,udp,sv_P1
44986,udp,email
64984,tcp,email
47408,icmp,email
31357,icmp,sv_P2
15990,tcp,sv_P5
39329,tcp,email
55906,tcp,email
4744,icmp,sv_P1
9,tcp,sv_P2
35834,udp,sv_P4
61971,tcp,sv_P2
37036,icmp,sv_P3
25469,icmp,sv_P1
52754,udp,sv_P4
23040,icmp,sv_P2
9146,icmp,email
18396,tcp,email
43698,icmp,sv_P3
57122,icmp,sv_P3
47795,tcp,sv_P5
604,tcp,sv_P1
9034,icmp,sv_P5
16445,udp,sv_P1
48300,icmp,sv_P4
15928,icmp,sv_P4
64504,tcp,email
4940,icmp,sv_P5
46663,tcp,sv_P1
47835,udp,email
16728,icmp,email
35294,tcp,sv_P2
53929,udp,sv_P5
40347,tcp,sv_P3
31603,icmp,sv_P4
1043,icmp,sv_P4
49231,icmp,sv_P4
38819,icmp,sv_P3
56980,icmp,sv_P3
7071,tcp,sv_P2
53356,icmp,sv_P4
14402,icmp,sv_P4
16883,icmp,email
57855,udp,sv_P1
4107,udp,sv_P5
2011,icmp,sv_P3
47769,tcp,sv_P4
24253,icmp,sv_P1
53054,tcp,sv_P1
12323,icmp,sv_P4
59744,icmp,sv_P5
17730,icmp,sv_P4
50885,udp,email
54549,udp,sv_P3
38708,icmp,sv_P1
36621,icmp,sv_P4
40899,tcp,sv_P2
16392,icmp,sv_P2
42288,icmp,sv_P1
2286,tcp,sv_P2
23366,icmp,sv_P3
2716,tcp,sv_P3
44965,icmp,email
2387,udp,sv_P2
917,icmp,sv_P5
14254,udp,email
47784,icmp,email
33245,icmp,sv_P2
17374,udp,sv_P2
56756,udp,sv_P2
8342,icmp,sv_P1
381,udp,email
63521,tcp,email
19662,tcp,sv_P5
62848,tcp,sv_P3
19092,tcp,sv_P3
47945,tcp,sv_P1
6502,tcp,sv_P1
24158,udp,sv_P2
39065,icmp,sv_P5
44102,icmp,sv_P5
37787,icmp,email
20664,icmp,sv_P1
36140,tcp,sv_P4
6670,udp,sv_P3
56588,tcp,email
24973,icmp,sv_P1
4417,tcp,sv_P1
46948,icmp,email
22322,udp,email
19921,udp,email
38296,icmp,sv_P5
26777,tcp,sv_P5
7716,tcp,sv_P4
15484,udp,email
35126,tcp,sv_P2
6103,tcp,sv_P2
61740,tcp,sv_P5
3095,udp,sv_P1
61210,tcp,sv_P4
31829,icmp,sv_P4
32366,icmp,sv_P2
23343,icmp,sv_P1
33201,udp,email
33889,tcp,sv_P5
15663,tcp,sv_P2
54889,icmp,sv_P3
59479,tcp,sv_P3
53293,tcp,sv_P3
63465,icmp,email
51580,tcp,sv_P5
16184,tcp,sv_P5
64112,udp,sv_P2
10091,udp,email
1512,icmp,sv_P1
31085,icmp,sv_P1
13080,udp,sv_P3
32143,tcp,sv_P3
3295,icmp,sv_P1
15259,tcp,sv_P4
7574,udp,sv_P5
65301,tcp,email
13922,icmp,sv_P2
60526,tcp,sv_P4
36119,udp,sv_P5
46225,udp,sv_P1
59141,tcp,sv_P3
14879,udp,email
62968,udp,sv_P2
32425,udp,sv_P5
42203,icmp,email
37232,tcp,sv_P3
3858,icmp,sv_P4
41261,tcp,sv_P1
3519,tcp,email
21984,icmp,sv_P4
54903,icmp,sv_P5
8393,udp,sv_P2
29526,udp,sv_P3
1254,tcp,sv_P1
5227,udp,sv_P5
3784,icmp,sv_P4
26457,icmp,sv_P3
15084,udp,sv_P1
29777,udp,sv_P3
20728,icmp,sv_P3
12585,tcp,email
1713,udp,sv_P5
46498,udp,sv_P1
48794,icmp,email
10342,icmp,sv_P1
32566,icmp,sv_P3
4716,icmp,sv_P3
4613,icmp,sv_P5
30595,udp,sv_P2
16367,tcp,sv_P1
37399,tcp,email
2422,icmp,email
29327,tcp,sv_P2
968,tcp,sv_P3
28360,udp,sv_P5
18130,icmp,sv_P4
7557,udp,sv_P1
59571,udp,sv_P2
59291,udp,sv_P5
20051,icmp,sv_P2
13380,udp,email
63327,tcp,sv_P4
22300,icmp,sv_P2
4307,icmp,sv_P1
47600,icmp,sv_P5
52112,icmp,sv_P5
52253,udp,sv_P5
50111,tcp,sv_P4
5598,icmp,sv_P2
37689,udp,sv_P2
25882,tcp,sv_P3
44461,icmp,sv_P1
12258,tcp,sv_P3
33684,icmp,sv_P1
32543,tcp,sv_P4
17198,tcp,sv_P2
10973,icmp,sv_P1
21415,tcp,sv_P2
41810,icmp,sv_P1
33244,udp,sv_P1
17768,udp,sv_P2
26904,udp,sv_P1
21943,tcp,sv_P2
54848,udp,sv_P4
47970,icmp,sv_P2
23466,udp,sv_P1
17088,tcp,sv_P5
36830,tcp,sv_P1
32278,udp,sv_P3
6382,tcp,sv_P1
54980,icmp,email
63529,udp,sv_P1
26169,udp,sv_P2
31683,udp,sv_P5
59195,udp,sv_P1
33738,tcp,sv_P1
27459,udp,sv_P1
23547,tcp,email
17213,udp,sv_P5
45636,icmp,sv_P5
1471,tcp,sv_P1
47566,udp,sv_P5
36853,udp,sv_P2
22604,tcp,sv_P2
14087,tcp,sv_P1
63218,udp,sv_P3
57332,udp,sv_P3
65066,tcp,sv_P4
3534,tcp,sv_P4
6308,tcp,sv_P1
49194,icmp,sv_P3
25868,icmp,sv_P5
46645,icmp,sv_P2
30699,icmp,sv_P1
10895,tcp,sv_P5
28950,tcp,sv_P5
50658,tcp,sv_P3
33291,tcp,sv_P4
59128,udp,sv_P4
51713,udp,sv_P1
48995,tcp,sv_P5
39674,udp,sv_P4
53658,udp,sv_P2
61707,icmp,sv_P5
56817,tcp,sv_P1
42954,udp,email
56878,udp,sv_P5
4641,icmp,sv_P5
36547,tcp,sv_P1
12224,udp,email
8355,udp,email
11377,tcp,sv_P5
1452,icmp,sv_P1
5346,icmp,sv_P5
42652,tcp,sv_P4
19112,icmp,sv_P1
28742,udp,sv_P1
64025,tcp,sv_P4
50494,udp,sv_P5
17900,tcp,sv_P3
54741,udp,sv_P2
25547,udp,sv_P5
60730,tcp,email
41377,tcp,sv_P4
36301,tcp,sv_P5
34257,tcp,sv_P4
30990,icmp,sv_P5
49291,udp,sv_P4
63899,icmp,sv_P1
64736,tcp,sv_P1
38392,udp,sv_P1
2302,tcp,sv_P4
21358,udp,sv_P4
48321,udp,sv_P4
8447,udp,sv_P3
49931,tcp,sv_P5
6877,icmp,sv_P3
48186,icmp,sv_P1
948,tcp,sv_P4
3021,icmp,sv_P1
50138,tcp,sv_P2
41165,udp,sv_P2
60105,tcp,sv_P4
19517,udp,sv_P1
257,tcp,sv_P5
35616,udp,sv_P4
4550,udp,sv_P3
34494,icmp,sv_P5
35796,udp,sv_P4
16922,icmp,sv_P2
18719,icmp,sv_P3
59772,icmp,sv_P3
9561,tcp,sv_P4
30944,icmp,sv_P2
57206,icmp,sv_P5
53300,tcp,sv_P1
27826,icmp,email
59981,icmp,sv_P3
46965,icmp,email
37506,udp,sv_P2
34304,icmp,sv_P1
5969,udp,sv_P3
41026,icmp,sv_P3
1010,tcp,sv_P1
18738,tcp,sv_P4
59362,tcp,sv_P5
62392,tcp,sv_P4
2393,tcp,sv_P5
33777,icmp,email
33821,udp,sv_P5
18865,tcp,sv_P5
26165,udp,email
51034,tcp,sv_P5
5068,icmp,sv_P5
38179,icmp,sv_P5
25174,udp,sv_P3
8855,tcp,sv_P3
36356,icmp,sv_P1
61641,udp,email
34303,tcp,email
34242,icmp,sv_P5
49935,icmp,email
45688,udp,sv_P3
50563,udp,sv_P1
18280,icmp,sv_P4
53087,udp,sv_P3
32898,icmp,sv_P5
57330,udp,sv_P2
47523,udp,sv_P2
28044,icmp,sv_P2
9596,tcp,sv_P2
8189,tcp,sv_P1
7564,icmp,sv_P3
4316,tcp,sv_P5
35909,icmp,sv_P1
46284,tcp,sv_P5
13387,udp,sv_P1
27509,icmp,sv_P5
41951,icmp,sv_P2
41233,icmp,sv_P2
62942,udp,sv_P4
44733,udp,email
27462,tcp,email
5197,tcp,sv_P2
12985,tcp,sv_P5
5093,icmp,sv_P5
13185,tcp,sv_P1
36416,icmp,sv_P1
21507,tcp,email
56036,udp,sv_P2
27997,tcp,sv_P5
54435,icmp,sv_P3
2430,tcp,sv_P3
29395,icmp,email
19913,udp,sv_P1
24606,tcp,email
21940,icmp,sv_P4
37514,icmp,sv_P4
54554,icmp,email
29095,tcp,sv_P3
60727,icmp,sv_P2
15205,icmp,sv_P5
30603,udp,sv_P2
8377,udp,sv_P4
20735,icmp,sv_P5
36504,tcp,sv_P2
49198,udp,sv_P1
33330,icmp,sv_P3
16062,icmp,sv_P5
63973,tcp,sv_P5
46811,udp,sv_P2
41677,tcp,sv_P4
49626,icmp,sv_P3
34727,icmp,sv_P5
36662,udp,sv_P4
31467,icmp,sv_P2
61582,tcp,email
34940,tcp,sv_P2
34248,udp,sv_P3
64161,udp,email
39015,icmp,sv_P2
46286,tcp,sv_P4
7441,udp,sv_P3
22212,udp,sv_P5
39911,icmp,sv_P4
38835,icmp,email
1285,udp,sv_P4
26316,udp,sv_P3
28410,icmp,sv_P3
19665,tcp,sv_P5
34681,tcp,sv_P2
5143,tcp,email
10892,udp,email
18527,udp,sv_P3
41071,udp,sv_P5
34068,udp,sv_P4
18416,icmp,sv_P5
55584,tcp,email
52455,tcp,sv_P1
41264,icmp,sv_P5
38882,icmp,sv_P1
23300,udp,sv_P3
44663,udp,sv_P5
62743,icmp,sv_P4
28036,tcp,sv_P5
65325,tcp,sv_P3
22912,icmp,email
60861,icmp,sv_P2
36951,icmp,email
630,icmp,sv_P3
54944,icmp,sv_P2
49056,udp,sv_P2
5480,tcp,sv_P3
2288,udp,sv_P2
31748,tcp,sv_P1
30262,icmp,sv_P5
35292,tcp,sv_P4
50473,icmp,email
51169,icmp,sv_P1
28018,icmp,sv_P1
37394,udp,sv_P1
53070,icmp,sv_P5
8050,udp,email
51230,tcp,sv_P3
53657,udp,sv_P4
55562,udp,sv_P5
17406,icmp,email
56005,icmp,sv_P1
18812,udp,sv_P1
62523,icmp,sv_P3
49656,udp,sv_P5
990,tcp,sv_P4
39110,icmp,sv_P5
27192,udp,sv_P5
18750,icmp,email
59387,tcp,sv_P4
50447,tcp,sv_P4
33385,icmp,sv_P4
16740,udp,sv_P4
53173,udp,sv_P4
17174,tcp,sv_P2
54361,tcp,sv_P4
51798,tcp,sv_P3
29772,icmp,sv_P3
56073,tcp,sv_P3
8450,icmp,sv_P5
49274,tcp,email
55210,icmp,sv_P3
38052,tcp,sv_P3
44815,icmp,sv_P4
6946,tcp,email
64172,tcp,email
58881,tcp,sv_P1
29153,tcp,sv_P4
55129,tcp,email
27836,udp,sv_P1
14306,tcp,sv_P4
9659,tcp,email
4067,udp,sv_P5
42849,udp,sv_P4
8846,icmp,sv_P3
30785,icmp,sv_P3
41219,udp,sv_P3
52975,tcp,email
25830,icmp,sv_P2
58892,tcp,sv_P4
65387,icmp,sv_P1
42176,tcp,sv_P1
22253,tcp,sv_P3
13463,icmp,sv_P5
59643,udp,email
8376,udp,email
25386,icmp,email
36544,icmp,sv_P4
53108,udp,email
54566,icmp,sv_P3
2007,tcp,sv_P3
34556,udp,sv_P3
11503,tcp,email
48916,udp,email
56862,udp,sv_P4
52099,icmp,sv_P4
63489,icmp,sv_P5
11258,udp,sv_P2
6136,tcp,email
55274,udp,email
45049,icmp,sv_P5
47241,icmp,sv_P2
44346,tcp,email
44155,tcp,email
63593,udp,sv_P3
12825,udp,sv_P2
47454,tcp,email
47929,udp,sv_P4
1804,icmp,sv_P4
43600,udp,sv_P3
62900,tcp,sv_P5
52633,tcp,sv_P4
23061,udp,sv_P2
25073,icmp,email
64083,tcp,email
42381,icmp,sv_P1
16189,tcp,sv_P2
53367,tcp,sv_P2
47390,tcp,sv_P4
16291,udp,email
44797,icmp,sv_P5
8459,udp,sv_P4
3322,udp,sv_P3
48343,udp,sv_P1
55575,tcp,sv_P5
52593,tcp,sv_P4
15408,icmp,sv_P4
64393,udp,sv_P1
4378,tcp,email
14559,tcp,sv_P3
45047,icmp,sv_P1
29887,tcp,sv_P2
59017,udp,email
46483,udp,sv_P2
48235,icmp,sv_P4
57522,tcp,sv_P4
12239,tcp,sv_P2
60277,icmp,email
63965,tcp,sv_P2
64839,tcp,sv_P4
1378,icmp,sv_P1
35560,icmp,sv_P1
9888,icmp,sv_P4
43756,tcp,sv_P4
38817,udp,sv_P2
31275,icmp,sv_P4
16834,tcp,sv_P2
15180,icmp,sv_P5
38130,tcp,sv_P3
55789,tcp,email
1499,tcp,sv_P3
16783,udp,email
62084,tcp,sv_P4
31312,udp,sv_P4
62025,tcp,sv_P1
34518,tcp,sv_P5
38926,tcp,sv_P4
57988,udp,sv_P5
25428,udp,sv_P4
20687,udp,sv_P3
26339,tcp,email
9175,icmp,sv_P5
10780,icmp,sv_P1
22467,udp,sv_P5
52232,icmp,sv_P2
28773,udp,sv_P1
11429,tcp,sv_P5
64491,icmp,sv_P3
55417,tcp,sv_P5
47980,icmp,sv_P4
64038,tcp,sv_P5
50382,tcp,sv_P2
30279,udp,sv_P5
62072,udp,sv_P3
15355,tcp,sv_P2
50321,icmp,sv_P5
34320,udp,sv_P1
51348,udp,email
46307,udp,sv_P5
17266,udp,sv_P3
7914,udp,email
62107,udp,sv_P5
56563,tcp,sv_P1
37618,tcp,sv_P2
49757,tcp,sv_P3
24604,udp,sv_P4
54319,tcp,sv_P3
8916,tcp,sv_P5
18550,udp,sv_P3
7948,tcp,sv_P1
9166,icmp,sv_P5
31794,tcp,sv_P5
14677,icmp,sv_P1
64344,udp,sv_P5
2842,tcp,email
63369,udp,email
29255,tcp,sv_P1
46846,tcp,email
13126,udp,sv_P4
6185,tcp,sv_P3
2203,icmp,sv_P1
26784,icmp,email
10618,icmp,sv_P1
62197,udp,sv_P4
38308,icmp,sv_P3
48212,icmp,email
16423,tcp,sv_P2
8597,tcp,sv_P1
56245,icmp,sv_P1
42836,udp,sv_P3
46763,tcp,sv_P4
26517,tcp,email
58836,tcp,sv_P4
7920,udp,sv_P2
40456,icmp,email
31512,udp,sv_P3
56254,tcp,sv_P3
2252,udp,sv_P1
18472,tcp,sv_P4
23072,icmp,sv_P4
48436,icmp,sv_P2
6573,udp,sv_P5
5034,tcp,email
30038,tcp,sv_P5
60899,udp,sv_P1
11182,icmp,sv_P4
39409,udp,sv_P1
54270,icmp,sv_P1
41166,tcp,sv_P2
7282,icmp,email
17448,udp,email
58073,icmp,sv_P4
32474,tcp,sv_P4
60471,tcp,sv_P1
14682,udp,sv_P3
56353,udp,sv_P4
43499,icmp,sv_P1
64550,icmp,email
55705,tcp,sv_P4
8723,udp,email
32909,tcp,email
29685,tcp,sv_P1
37491,udp,sv_P2
21764,icmp,sv_P3
23549,udp,email
33783,tcp,sv_P3
18882,tcp,sv_P5
49836,udp,sv_P4
59746,udp,sv_P5
27991,icmp,sv_P3
48510,tcp,email
40818,udp,email
55387,tcp,sv_P1
7630,udp,sv_P1
30071,icmp,sv_P2
61856,tcp,sv_P5
3298,tcp,sv_P3
13581,icmp,sv_P3
43016,icmp,sv_P5
62572,udp,sv_P2
20609,icmp,sv_P5
54317,icmp,email
54367,icmp,email
45217,tcp,email
2283,udp,sv_P2
20723,tcp,sv_P3
27115,tcp,sv_P1
48185,tcp,sv_P5
20533,icmp,sv_P3
31867,icmp,sv_P4
65338,icmp,email
13100,tcp,sv_P2
53606,udp,email
54420,udp,sv_P3
62313,icmp,sv_P3
35048,icmp,sv_P3
49437,icmp,sv_P3
20592,tcp,sv_P2
17644,tcp,sv_P5
23136,tcp,sv_P4
30489,tcp,sv_P5
44031,tcp,sv_P5
61272,tcp,sv_P2
62264,tcp,sv_P3
16766,tcp,sv_P4
62124,icmp,sv_P2
39980,icmp,sv_P2
26874,tcp,sv_P5
10561,tcp,sv_P5
18128,icmp,sv_P2
27125,icmp,sv_P5
32196,udp,sv_P5
64772,udp,sv_P5
21803,tcp,email
44077,tcp,email
22734,icmp,sv_P4
31163,tcp,email
64714,tcp,sv_P1
55689,udp,sv_P1
24127,icmp,email
54453,udp,sv_P2
62078,icmp,sv_P3
3886,tcp,sv_P4
17563,tcp,sv_P4
11718,icmp,sv_P1
55661,udp,sv_P2
19966,icmp,sv_P5
12203,icmp,sv_P4
54225,icmp,sv_P1
28750,icmp,sv_P5
23786,udp,sv_P1
55867,udp,sv_P4
21313,icmp,sv_P2
13998,udp,sv_P2
20503,udp,email
28401,icmp,sv_P4
52077,icmp,email
14099,udp,sv_P4
57231,udp,email
61394,tcp,sv_P5
46143,tcp,sv_P1
57210,udp,sv_P2
58527,tcp,sv_P4
39224,udp,sv_P4
6029,tcp,email
24439,tcp,sv_P5
15378,tcp,email
23338,icmp,sv_P3
14404,icmp,sv_P4
43627,icmp,email
21535,udp,sv_P1
32009,tcp,sv_P3
64779,tcp,sv_P4
48224,udp,sv_P1
24083,tcp,sv_P2
15589,udp,sv_P5
53494,tcp,sv_P1
42753,icmp,sv_P3
33703,tcp,sv_P2
45724,tcp,sv_P1
59233,udp,sv_P3
9455,tcp,sv_P3
52833,tcp,sv_P5
28235,tcp,sv_P5
28162,udp,sv_P2
35459,tcp,sv_P5
47991,udp,sv_P1
42373,icmp,sv_P3
31552,tcp,sv_P5
64751,icmp,email
29237,tcp,sv_P1
3801,udp,sv_P1
64246,tcp,sv_P4
47231,tcp,sv_P5
41678,tcp,sv_P5
42939,udp,sv_P3
26620,tcp,email
51719,udp,sv_P3
31533,tcp,sv_P5
32494,icmp,sv_P2
19581,icmp,sv_P3
63298,tcp,sv_P1
40781,udp,sv_P1
35548,udp,sv_P1
57585,icmp,sv_P4
8180,udp,sv_P5
9361,icmp,sv_P2
27159,icmp,sv_P3
13397,tcp,sv_P2
35714,icmp,sv_P3
20797,icmp,email
30107,udp,sv_P1
23225,tcp,sv_P2
56207,icmp,sv_P3
55174,udp,sv_P2
34219,udp,sv_P5
53000,udp,email
57573,icmp,sv_P5
18863,tcp,email
51344,udp,sv_P4
52776,tcp,sv_P1
61124,icmp,email
17619,icmp,sv_P2
9087,tcp,sv_P5
53126,tcp,email
42835,tcp,sv_P1
54774,icmp,sv_P2
38719,udp,sv_P3
58561,udp,email
17248,udp,sv_P5
20163,udp,sv_P2
21084,tcp,email
15574,tcp,email
18443,icmp,sv_P4
54239,tcp,sv_P5
13527,tcp,email
21016,tcp,sv_P1
18835,tcp,email
3688,icmp,sv_P5
4890,udp,sv_P1
7446,udp,sv_P2
46820,tcp,sv_P5
32828,udp,sv_P3
61553,tcp,sv_P5
23125,icmp,sv_P1
